Date,Close,High,Low,Open,company_name,Volume
2022-01-17,26.20,26.92,26.20,26.48,ACB,7284700
2022-01-18,26.24,26.44,25.84,26.20,ACB,4272600
2022-01-19,26.40,26.64,26.24,26.24,ACB,2104000
2022-01-20,26.36,26.52,26.16,26.40,ACB,3415900
2022-01-21,26.76,27.20,26.32,26.36,ACB,4404000
2022-01-24,27.48,27.92,26.80,26.80,ACB,13185100
2022-01-25,27.88,28.04,27.48,27.48,ACB,4282700
2022-01-26,28.36,28.76,28.00,28.00,ACB,8494500
2022-01-27,27.92,28.32,27.64,28.32,ACB,6064400
2022-01-28,27.64,28.00,27.52,27.92,ACB,10258100
2022-02-07,27.76,28.12,27.72,28.00,ACB,4548000
2022-02-08,28.60,28.80,27.76,27.76,ACB,32461200
2022-02-09,28.48,28.76,28.40,28.72,ACB,10149700
2022-02-10,28.44,28.64,28.28,28.48,ACB,7632500
2022-02-11,28.56,29.08,28.20,28.24,ACB,9575200
2022-02-14,27.20,28.48,27.20,28.32,ACB,13153200
2022-02-15,27.60,27.60,27.20,27.24,ACB,6631900
2022-02-16,27.36,27.76,27.20,27.76,ACB,5099500
2022-02-17,27.44,27.56,27.28,27.32,ACB,3913100
2022-02-18,27.08,27.40,26.96,27.28,ACB,7318400
2022-02-21,27.52,27.52,26.84,27.12,ACB,7285100
2022-02-22,27.76,27.76,26.88,27.20,ACB,8094700
2022-02-23,27.68,28.08,27.68,27.84,ACB,5857600
2022-02-24,27.56,27.68,26.76,27.48,ACB,8892700
2022-02-25,27.48,27.80,27.44,27.60,ACB,5508400
2022-02-28,27.12,27.48,27.12,27.44,ACB,3857100
2022-03-01,27.08,27.20,26.84,27.20,ACB,5610900
2022-03-02,26.32,27.20,26.32,26.96,ACB,13881600
2022-03-03,26.76,26.76,26.32,26.40,ACB,8167100
2022-03-04,27.44,27.44,26.40,26.72,ACB,6925100
2022-03-07,26.60,27.04,26.52,26.80,ACB,4694500
2022-03-08,26.08,26.56,26.04,26.40,ACB,7221800
2022-03-09,26.16,26.36,25.92,26.20,ACB,4172000
2022-03-10,26.32,26.72,26.32,26.40,ACB,2199800
2022-03-11,26.16,26.36,26.08,26.24,ACB,2714900
2022-03-14,26.16,26.24,25.96,26.00,ACB,2724900
2022-03-15,26.24,26.52,26.16,26.24,ACB,2750200
2022-03-16,26.24,26.44,26.12,26.32,ACB,3294200
2022-03-17,26.24,26.56,26.24,26.52,ACB,2620300
2022-03-18,26.24,26.48,26.24,26.40,ACB,2597000
2022-03-21,26.36,26.40,26.16,26.32,ACB,3302500
2022-03-22,26.64,26.72,26.40,26.40,ACB,3324000
2022-03-23,26.56,26.72,26.52,26.56,ACB,2060000
2022-03-24,26.32,26.56,26.28,26.44,ACB,2873100
2022-03-25,26.16,26.52,26.16,26.32,ACB,3338200
2022-03-28,25.88,26.24,25.84,26.16,ACB,4875800
2022-03-29,25.88,26.12,25.84,25.96,ACB,3664900
2022-03-30,26.08,26.32,25.84,25.92,ACB,4154500
2022-03-31,26.44,26.56,26.08,26.16,ACB,5523400
2022-04-01,26.72,26.72,26.40,26.44,ACB,5865500
2022-04-04,26.80,26.96,26.72,26.88,ACB,4794400
2022-04-05,26.40,26.72,26.36,26.72,ACB,4508400
2022-04-06,26.56,26.64,26.20,26.28,ACB,4156600
2022-04-07,26.88,27.32,26.60,26.72,ACB,9648900
2022-04-08,27.08,27.20,26.92,26.96,ACB,8904400
2022-04-12,26.76,27.08,26.68,27.08,ACB,4923200
2022-04-13,26.92,27.08,26.64,26.80,ACB,5053900
2022-04-14,27.04,27.32,26.88,26.92,ACB,4900700
2022-04-15,26.84,27.20,26.76,27.04,ACB,5388100
2022-04-18,26.24,26.88,26.24,26.80,ACB,5946400
2022-04-19,25.32,26.24,25.28,26.08,ACB,5244400
2022-04-20,25.52,25.76,25.32,25.36,ACB,4490500
2022-04-21,25.20,26.00,25.20,25.60,ACB,5899800
2022-04-22,25.84,26.08,25.36,25.36,ACB,5188800
2022-04-25,24.40,25.96,24.40,25.84,ACB,8242600
2022-04-26,24.72,25.00,24.00,24.40,ACB,6106000
2022-04-27,24.72,24.96,24.24,24.56,ACB,2831800
2022-04-28,24.80,24.96,24.48,24.48,ACB,1503700
2022-04-29,26.16,26.16,24.60,24.80,ACB,4640900
2022-05-04,25.40,26.00,25.40,25.80,ACB,2060200
2022-05-05,25.36,25.84,25.04,25.84,ACB,3209000
2022-05-06,24.80,25.44,24.68,24.96,ACB,1920300
2022-05-09,24.48,24.80,23.76,24.80,ACB,5176200
2022-05-10,24.64,24.80,23.92,24.24,ACB,3850100
2022-05-11,25.28,25.28,24.48,24.64,ACB,2319300
2022-05-12,23.60,25.00,23.60,24.56,ACB,3128000
2022-05-13,22.00,24.24,22.00,23.92,ACB,6142600
2022-05-16,22.08,22.96,22.00,22.12,ACB,5137600
2022-05-17,23.40,23.48,22.00,22.08,ACB,2617900
2022-05-18,23.16,23.80,23.04,23.76,ACB,3521100
2022-05-19,22.88,23.20,22.48,22.72,ACB,1856400
2022-05-20,23.24,23.44,22.88,22.88,ACB,1936000
2022-05-23,22.76,23.44,22.64,23.28,ACB,1187500
2022-05-24,23.04,23.04,22.52,23.04,ACB,1574100
2022-05-25,24.00,24.00,23.04,23.04,ACB,3815600
2022-05-26,24.28,24.40,24.00,24.32,ACB,2690700
2022-05-27,25.44,25.44,24.48,24.64,ACB,4910800
2022-05-30,25.56,25.60,25.20,25.60,ACB,2244200
2022-05-31,25.24,25.44,25.20,25.36,ACB,2348500
2022-06-01,24.88,25.44,24.88,25.44,ACB,3523400
2022-06-02,25.35,25.95,25.35,25.60,ACB,3745600
2022-06-03,25.30,25.60,24.90,25.50,ACB,1409500
2022-06-06,25.30,25.55,25.20,25.30,ACB,1698800
2022-06-07,24.95,25.30,24.30,25.30,ACB,2255000
2022-06-08,25.70,25.70,24.65,24.90,ACB,4494800
2022-06-09,25.75,25.90,25.05,25.80,ACB,3388400
2022-06-10,25.20,25.80,25.15,25.20,ACB,2278300
2022-06-13,23.90,25.00,23.80,25.00,ACB,3830300
2022-06-14,24.10,24.45,23.50,23.90,ACB,2049600
2022-06-15,23.60,24.50,23.10,24.45,ACB,3633100
2022-06-16,24.10,24.10,23.60,23.60,ACB,1925600
2022-06-17,23.10,23.85,22.85,23.50,ACB,3160900
2022-06-20,22.90,23.50,22.80,23.10,ACB,3956000
2022-06-21,23.00,23.20,22.50,22.50,ACB,2676500
2022-06-22,23.75,23.90,23.20,23.20,ACB,2532000
2022-06-23,23.75,23.85,23.05,23.40,ACB,2140900
2022-06-24,23.80,24.00,23.50,23.70,ACB,1588100
2022-06-27,23.95,24.15,23.65,23.80,ACB,2447600
